Date,open,high,low,close
2/20/13,0.614166,0.6145825,0.5862495,0.5862495
2/21/13,0.5798955,0.5812495,0.560937,0.567187
2/22/13,0.5769785,0.58427,0.570833,0.5838535
2/25/13,0.5957285,0.601562,0.5611455,0.562083
2/26/13,0.56552,0.572161,0.5537495,0.5688535
2/27/13,0.5695825,0.59677,0.5668745,0.586145
2/28/13,0.586145,0.59927,0.583541,0.5839575
3/1/13,0.5767705,0.5927075,0.5681245,0.5899995
3/4/13,0.584166,0.597916,0.5819785,0.5976035
3/5/13,0.6092055,0.626562,0.608541,0.6238535
3/6/13,0.6302075,0.6307285,0.617291,0.619895
3/7/13,0.621666,0.6274995,0.618437,0.625312
3/8/13,0.631041,0.6335255,0.6194785,0.626041
3/11/13,0.6248955,0.632708,0.6187495,0.6324995
3/12/13,0.6268745,0.630937,0.6164575,0.624791
3/13/13,0.6270825,0.6301035,0.6164575,0.622812
3/14/13,0.6294785,0.63302,0.6250285,0.629166
3/15/13,0.6302075,0.631665,0.619062,0.6232285
3/18/13,0.6069785,0.6269785,0.6026035,0.6189575
3/19/13,0.6248955,0.6286455,0.5994785,0.6164575
3/20/13,0.629062,0.632812,0.620416,0.6282285
3/21/13,0.6124995,0.6164575,0.6033325,0.6081245
3/22/13,0.6149995,0.6264575,0.6131245,0.6248955
3/25/13,0.631041,0.6349995,0.6094785,0.618541
3/26/13,0.6258325,0.6288535,0.6213535,0.62802
3/27/13,0.616145,0.632187,0.6130205,0.6313535
3/28/13,0.630937,0.6374995,0.626562,0.6349995
4/1/13,0.6369785,0.638541,0.6174995,0.6227075
4/2/13,0.630937,0.6431245,0.629895,0.63677
4/3/13,0.6381245,0.6406245,0.6151035,0.619895
4/4/13,0.61927,0.624687,0.6102075,0.6202075
4/5/13,0.590937,0.607395,0.586562,0.6049995
4/8/13,0.60552,0.614687,0.6001035,0.61427
4/9/13,0.6193745,0.6339575,0.6106245,0.6263535
4/10/13,0.632916,0.6658325,0.632187,0.66302
4/11/13,0.658541,0.6669785,0.6562495,0.661874
4/12/13,0.6576035,0.662395,0.6459365,0.661145
4/15/13,0.652916,0.65677,0.619791,0.620937
4/16/13,0.6332285,0.648541,0.6287495,0.6468745
4/17/13,0.6294785,0.629895,0.5976035,0.60902
4/18/13,0.6141555,0.614166,0.5756245,0.582708
4/19/13,0.587395,0.611041,0.584063,0.6068745
4/22/13,0.613541,0.632291,0.6069785,0.62552
4/23/13,0.6369785,0.6503115,0.6268745,0.643958
4/24/13,0.6389575,0.649791,0.634687,0.642395
4/25/13,0.648645,0.660416,0.6474995,0.652812
4/26/13,0.6487495,0.6527075,0.6388535,0.647291
4/29/13,0.652812,0.672187,0.652812,0.6644785
4/30/13,0.6674995,0.679687,0.6598955,0.6790825
5/1/13,0.679062,0.682916,0.6658325,0.670416
5/2/13,0.67302,0.6993745,0.671458,0.694687
5/3/13,0.7152075,0.725937,0.714062,0.7189575
5/6/13,0.7231245,0.7313535,0.721562,0.7282285
5/7/13,0.731666,0.7332285,0.7189575,0.7264575
5/8/13,0.724687,0.7389075,0.72226,0.737812
5/9/13,0.732395,0.7489575,0.729895,0.7352075
5/10/13,0.738437,0.748437,0.735091,0.7477075
5/13/13,0.7440615,0.755624,0.741666,0.750624
5/14/13,0.75052,0.768645,0.7503115,0.761666
5/15/13,0.7582285,0.768645,0.7519785,0.767291
5/16/13,0.7688535,0.7798845,0.7627075,0.7644785
5/17/13,0.775416,0.786874,0.7684365,0.786041
5/20/13,0.779895,0.7900565,0.773124,0.782499
5/21/13,0.781989,0.793541,0.7732285,0.785416
5/22/13,0.787916,0.8064575,0.752395,0.766249
5/23/13,0.74427,0.766249,0.7395825,0.757916
5/24/13,0.743749,0.75802,0.7374995,0.757499
5/28/13,0.7839575,0.7927075,0.765624,0.773124
5/29/13,0.763541,0.769791,0.748437,0.7614575
5/30/13,0.761666,0.7839575,0.761666,0.7738535
5/31/13,0.76427,0.782166,0.7502075,0.75177
6/3/13,0.7534365,0.7565615,0.7270825,0.756145
6/4/13,0.760416,0.769791,0.7352075,0.744791
6/5/13,0.7369785,0.745416,0.7137495,0.716249
6/6/13,0.7182285,0.7256245,0.697916,0.7249995
6/7/13,0.73552,0.7576035,0.729166,0.7553115
6/10/13,0.7601035,0.7664575,0.7515615,0.755624
6/11/13,0.7332285,0.7538535,0.726145,0.7337495
6/12/13,0.747187,0.747291,0.704895,0.7083325
6/13/13,0.7052075,0.73927,0.6994785,0.7337495
6/14/13,0.734791,0.737312,0.7170825,0.7208325
6/17/13,0.7374995,0.753645,0.729895,0.7408325
6/18/13,0.744166,0.763645,0.7438535,0.7583325
6/19/13,0.7594785,0.762213,0.7314575,0.7344785
6/20/13,0.708645,0.716145,0.6745825,0.680312
6/21/13,0.6808325,0.68677,0.6538535,0.6707285
6/24/13,0.6544785,0.666144,0.6339575,0.649999
6/25/13,0.669166,0.6727075,0.653438,0.6638535
6/26/13,0.681666,0.686041,0.6748015,0.6819785
6/27/13,0.6926035,0.7037495,0.6895825,0.6895825
6/28/13,0.684166,0.706145,0.679791,0.6914575
7/1/13,0.7082285,0.723437,0.7044785,0.7062495
7/2/13,0.7058325,0.7202335,0.6962495,0.706562
7/3/13,0.699791,0.7257285,0.69802,0.716145
7/5/13,0.727916,0.732812,0.711041,0.7319785
7/8/13,0.743541,0.7443745,0.726562,0.7343745
7/9/13,0.7444785,0.7524995,0.734687,0.7478115
7/10/13,0.7451035,0.7639575,0.7451035,0.760416
7/11/13,0.7846865,0.8078115,0.783541,0.8078115
7/12/13,0.80802,0.81802,0.8013535,0.816249
7/15/13,0.8188535,0.823541,0.8121865,0.8226035
7/16/13,0.8240615,0.826041,0.8127075,0.819374
7/17/13,0.8263535,0.83052,0.8182285,0.8252075
7/18/13,0.8247905,0.8308325,0.8151035,0.819166
7/19/13,0.797916,0.7982285,0.786145,0.79427
7/22/13,0.8027075,0.8057285,0.79302,0.799999
7/23/13,0.8046865,0.8046865,0.7809105,0.7821865
7/24/13,0.805416,0.8063535,0.784792,0.7895845
7/25/13,0.801249,0.8076035,0.788749,0.8038535
7/26/13,0.7952075,0.8178115,0.791666,0.8171865
7/29/13,0.81302,0.823124,0.806501,0.8134365
7/30/13,0.822395,0.836197,0.8170825,0.82552
